cob_urb,precip,elev,hund,pob,viv_s_a,ocupantes,ingreso
100,615,2227,14.804,2545,110,3.6777,0.57471416157975
100,620.7777777778,2220,19.123,2297,64,3.4646,0.498525082861813
100,625.0833333333,2221,19.046,4626,117,3.7949,0.509984149220614
100,626.0714285714,2222,18.843,5284,121,3.6441,0.494517480710624
100,629.9523809524,2221,16.657,3813,66,3.8671,0.42708177239339
100,628.2727272727,2220,16.103,3662,64,3.8106,0.465590366692564
100,635,2221,11.212,3792,88,3.8576,0.461919262307141
95.45,648.9545454545,2229,10.918,2781,143,3.5977,0.496872130634537
100,618.7333333333,2220,16.291,1872,60,3.373,0.490978460446069
100,621,2233,18.488,2853,82,3.6437,0.502430087018856
100,608.7058823529,2230,19.897,2611,67,3.486,0.539162090121611
100,607.8181818182,2233,19.319,2944,81,3.6212,0.600712496391808
100,610.8666666667,2232,16.974,3599,89,3.5918,0.541349232145263
100,608.6470588235,2232,17.795,2499,88,3.6967,0.554175428416198
100,612.6428571429,2229,14.81,2757,58,3.9555,0.544207572321964
100,606.4,2230,15.117,2321,55,3.2829,0.54846423863897
100,606.6,2229,18.81,1712,34,3.5519,0.595138666321609
100,607,2229,17.375,2458,35,4.1035,0.587100926866732
100,601.8823529412,2230,12.08,2845,74,3.6335,0.614248853279914
100,606,2233,18.323,2630,52,3.5929,0.58391432317299
100,601.6666666667,2230,12.324,1955,55,3.5162,0.552808266080317
100,600.375,2229,11.429,2750,80,3.4854,0.588590227323079
68.49,597.1369863014,2230,4.985,5262,531,2.9072,0.740603797707394
86.05,602.2093023256,2273,1.612,176,170,0.9944,0.318136231680136
100,605.4210526316,2230,5.576,1691,55,3.7578,0.683649657280444
80.99,618.161971831,2230,9.97,1665,156,3.0891,0.667277293178918
100,647,2228,9.039,38,2,3.8,0
100,637,2230,17.33,2423,72,3.8278,0.488626948515691
100,634.6551724138,2239,25.338,5019,83,3.7937,0.523716679821221
100,640.2142857143,2231,23.607,3039,112,3.7334,0.452028551249237
100,638.0454545455,2240,25.135,4137,108,3.785,0.51008366829253
100,632.6363636364,2237,25.424,2582,36,3.7638,0.51177422849086
100,631.9473684211,2230,25.849,3057,58,3.7601,0.492903540353978
100,626.7692307692,2233,21.116,2438,25,3.9133,0.573365557041362
100,628,2233,22.558,2027,36,3.8981,0.531278092554889
100,648,2233,23.743,3413,89,3.8652,0.573324836028079
100,650.6666666667,2230,24.919,4093,97,3.7828,0.52770387414356
100,620.4615384615,2217,20.04,4142,87,3.5676,0.554601866867752
100,623,2217,18.252,2472,38,3.6406,0.471727782006081
30,647.6,2227,8.257,1,0,1,0
0,653,2231,12.303,0,18,0,0
84.62,639.5384615385,2286,2.53,439,39,3.4297,0.406908624558029
52.08,641.75,2246,1.254,4801,1203,1.9485,0.619313901600658
100,644,2268,3.173,77,2,3.3478,0.459101953682658
100,638.8695652174,2282,1.772,610,1142,0.471,0.351934450149939
3.33,627.3333333333,2237,0,3093,39,4.1741,0.612341733547085
0,627.6119402985,2238,0,2752,120,4.071,0.578889154090402
0,625.4,2237,0,929,66,3.8708,0.529606574650234
100,#N/D,2245,0,3424,70,3.8953,0.80110025669929
100,#N/D,2241,0,5912,149,3.4593,0.76829157689686
100,#N/D,2246,0,4638,128,3.7163,0.758409947227931
100,#N/D,2240,0,5007,161,3.5112,0.757105050166816
100,#N/D,2243,0,2260,51,3.7171,0.818827775079377
100,#N/D,2241,0,3385,136,3.6398,0.781703668623307
100,#N/D,2238,0,10265,389,3.1958,0.718955318547697
100,#N/D,2236,0.157,5005,307,3.0297,0.754992052088713
100,#N/D,2236,0.062,7028,220,3.4553,0.736497010040752
100,#N/D,2245,0,2645,148,3.3312,0.814778663802508
100,#N/D,2242,0,3169,88,3.2304,0.713610813544279
100,#N/D,2245,0.095,2466,85,3.3874,0.797000514275322
100,#N/D,2245,0.032,7474,223,3.3516,0.79663128544636
100,#N/D,2247,0,7548,354,3.1036,0.735267261961599
100,#N/D,2239,0.001,6107,124,3.5199,0.717597449067288
100,#N/D,2242,0,3970,95,3.1113,0.766469297532295
100,#N/D,2236,0.17,6901,195,3.3565,0.772332737569104
100,#N/D,2255,0,6355,264,3.3678,0.734538994838473
100,#N/D,2250,0,4438,115,3.579,0.757157835298271
100,#N/D,2246,0.014,5150,274,3.6577,0.773133968157396
100,#N/D,2248,0,7839,149,4.1942,0.766791995246758
100,#N/D,2247,0,3257,124,3.1469,0.848230706804427
100,#N/D,2246,0,5385,238,3.0984,0.757837995671766
100,#N/D,2245,0,6178,228,3.5082,0.75068774012662
100,#N/D,2242,0.085,3466,238,2.9423,0.745416785294672
100,#N/D,2239,0.056,7255,369,2.8186,0.832652345341501
100,#N/D,2236,0.065,2442,50,3.5289,0.734452158960453
100,#N/D,2235,0.128,3821,123,3.4642,0.761117485476001
100,#N/D,2233,0.4,4788,202,3.2286,0.815054825507294
100,#N/D,2232,0.448,3744,99,3.4699,0.736379425545583
100,#N/D,2231,0.471,5070,191,3.2794,0.728643076478419
100,#N/D,2230,0.635,4267,207,3.2179,0.72662052595285
100,#N/D,2230,0.798,4103,256,2.8122,0.740370880830632
100,#N/D,2229,1.013,4042,176,3.0052,0.751253610203819
100,#N/D,2229,1.227,4280,128,3.1309,0.772445104670278
100,#N/D,2248,0,3071,165,3.0137,0.7924529768919
100,#N/D,2249,0,2959,90,3.4853,0.822016369347479
100,#N/D,2243,0.103,3316,246,2.761,0.773297781814378
100,#N/D,2239,0.174,6395,402,2.6557,0.845354650317746
100,#N/D,2239,0.131,3921,159,3.1519,0.724602913693189
100,#N/D,2236,0.228,6048,298,3.0346,0.819047010495096
100,#N/D,2238,0.305,4623,225,2.9787,0.824966218986499
100,#N/D,2237,0.304,2513,149,2.7799,0.791602721355869
100,#N/D,2231,0.965,3013,635,2.0866,0.756222219653894
100,#N/D,2231,1.05,4698,235,2.9772,0.746718029732595
100,#N/D,2232,1.234,3187,198,2.9158,0.722059834131971
100,#N/D,2232,1.355,3243,173,3.1888,0.734714958039826
100,#N/D,2232,1.673,4210,135,3.3254,0.721605131348837
100,#N/D,2254,0.018,4637,67,3.6255,0.714207912941517
100,#N/D,2253,0,5002,82,3.6458,0.669903305185228
100,#N/D,2254,0.03,4351,82,3.4752,0.663840499595154
100,#N/D,2253,0.067,5097,66,3.4185,0.675789323231377
100,#N/D,2255,0,5242,159,3.504,0.767477230197344
100,#N/D,2245,0,6888,352,3.4015,0.720731462259404
100,#N/D,2243,0,7698,369,3.128,0.743533347412962
100,#N/D,2237,0.141,6274,435,2.8312,0.814066032890535
100,#N/D,2238,0.01,4562,239,2.7766,0.82793705847453
100,#N/D,2236,0.268,2648,145,2.8081,0.864555374633117
100,#N/D,2236,0.298,2518,163,2.6202,0.865993155886108
100,#N/D,2236,0.412,4245,237,2.952,0.792677322944939
100,#N/D,2232,0.435,3099,209,2.7113,0.865824144620573
100,#N/D,2232,0.709,3144,119,2.9274,0.762354801901498
100,#N/D,2232,0.913,2543,131,3.0419,0.765408180120115
100,#N/D,2232,1.375,5172,287,2.9724,0.724105693094337
100,#N/D,2233,1.715,2718,70,3.2985,0.725721005772121
100,#N/D,2233,2.118,2651,150,3.0091,0.758721183156203
100,#N/D,2237,0.173,4901,380,2.8183,0.776234788723515
100,#N/D,2235,0.241,2021,147,2.6044,0.840620955289762
100,#N/D,2235,0.266,3260,237,2.6483,0.79932600752046
100,#N/D,2234,0.686,2737,116,2.9782,0.786417003700496
100,#N/D,2233,0.548,3160,271,2.5629,0.8347348242473
100,#N/D,2233,0.933,3796,229,2.7994,0.838912000108858
100,#N/D,2233,1.131,4493,257,3.0606,0.757322145455013
100,#N/D,2228,0.267,804,31,3.4359,0.689264220963769
100,#N/D,2228,0.464,5625,284,3.4299,0.690236417590473
100,#N/D,2238,0.254,1768,100,2.5924,0.81496778291778
100,#N/D,2236,0.25,1855,120,2.4505,0.84369628761505
100,#N/D,2241,0.064,3631,76,3.4713,0.823624437878699
100,#N/D,2240,0,995,61,3.5663,0.600498126324511
100,#N/D,2237,0,380,16,3.0645,0.790285532265932
100,#N/D,2238,0,5093,143,3.5442,0.793194003099937
100,#N/D,2245,0,2133,99,3.2715,0.871916168825876
100,#N/D,2243,0,3027,152,3.2619,0.85635128084304
100,#N/D,2244,0.066,2475,86,3.3719,0.820543944071634
100,#N/D,2247,0.056,1259,78,2.8292,0.807183796605501
100,#N/D,2247,0.018,6765,337,3.1046,0.779761360786272
100,#N/D,2248,0,1649,113,2.9819,0.795527569047413
100,#N/D,2244,0.034,5099,350,2.9542,0.810935886235324
100,#N/D,2254,0,7376,226,3.3195,0.732264547175084
100,#N/D,2257,0,6282,127,3.5292,0.700378488835026
100,#N/D,2232,0.507,2835,167,2.6595,0.868349059474284
100,#N/D,2233,0.975,1814,116,2.4514,0.76001459105209
19.44,#N/D,2253,0,0,0,0,0
95.45,#N/D,2254,0.011,3211,358,2.5895,0.872487932366757
100,#N/D,2256,0,6809,330,3.1006,0.786210165049989
100,#N/D,2240,0,4415,263,3.2226,0.860154919671707
100,#N/D,2244,0,3085,101,3.2542,0.837974856585324
100,#N/D,2233,0.439,2880,133,2.8858,0.821348073532423
100,#N/D,2234,0.502,1083,69,2.6609,0.814823429325969
100,#N/D,2239,0.084,1633,751,1.4151,0.752637258491169
100,#N/D,2236,0.191,401,42,3.314,0.615842062930224
100,#N/D,2245,0,1714,73,2.9965,0.875824113273656
100,#N/D,2243,0,1477,107,2.8404,0.836152723827269
50.7,#N/D,2245,0.351,1622,105,2.6722,0.837525599065127
100,#N/D,2245,0.736,1655,96,2.6354,0.88206024453938
100,#N/D,2246,1.065,1329,61,2.729,0.901103017830761
100,#N/D,2251,0.998,3756,266,2.6563,0.812568379459395
100,#N/D,2237,0.811,4008,274,2.766,0.821632328462201
100,#N/D,2241,1.139,3852,183,3.3008,0.782403830075536
45.97,#N/D,2235,1.362,2965,319,2.6054,0.764759096218463
100,#N/D,2228,1.829,2262,72,3.008,0.936904332665128
100,#N/D,2229,2.26,3411,206,2.7114,0.862213475145244
100,#N/D,2229,2.886,7058,438,2.861,0.807543131037158
100,#N/D,2256,0.211,1383,62,3.5553,0.878535135863082
100,#N/D,2248,0.203,1822,140,2.8875,0.830160620799646
100,#N/D,2242,0.485,2645,187,2.9586,0.823151509538944
100,#N/D,2241,0.952,2385,201,2.6828,0.817231892537037
100,#N/D,2237,0.86,5125,377,2.6582,0.826076024176561
100,#N/D,2238,1.319,2850,177,2.6195,0.843011462846088
100,#N/D,2244,1.657,2085,139,2.6293,0.904880077074709
100,#N/D,2237,1.693,3205,258,2.7024,0.81421794837469
100,#N/D,2228,1.751,1615,57,3.0703,0.866716676461778
100,#N/D,2229,1.998,5729,413,2.6499,0.874234610117334
100,#N/D,2229,2.524,6275,611,2.4656,0.855860136033662
100,#N/D,2229,1.83,8197,436,3.2045,0.73784738305082
100,#N/D,2263,0,729,50,2.8814,0.832492656059407
100,#N/D,2256,0.015,783,45,2.7093,0.861736175146024
100,#N/D,2249,0.042,1442,83,2.8611,0.799906805904055
100,#N/D,2248,0.097,3468,204,2.8948,0.830258525376626
100,#N/D,2242,0.569,8323,404,3.0792,0.810829013322248
100,#N/D,2239,0.974,4092,248,2.8417,0.800538136874146
100,#N/D,2238,1.214,1606,117,2.8325,0.796494960866695
100,#N/D,2235,1.46,2718,290,2.5787,0.780050411789756
100,#N/D,2234,1.443,3135,208,2.7842,0.803269393493156
100,#N/D,2235,1.713,3548,126,3.096,0.885785052822333
100,#N/D,2229,1.51,4860,124,3.6986,0.650588993315778
100,#N/D,2278,0,2082,74,2.9283,0.854310337396195
100,#N/D,2278,0,1448,82,2.609,0.871255983057356
100,#N/D,2273,0,2397,165,2.2764,0.858495603904951
100,#N/D,2266,0,2242,178,2.0475,0.843864917451892
100,#N/D,2264,0.01,1692,147,2.321,0.808660334080281
100,#N/D,2256,0.011,3873,228,2.6063,0.852909486959603
100,#N/D,2247,0.239,2145,77,3.2798,0.864691237808016
100,#N/D,2250,0.229,5145,97,3.6156,0.784795649548406
100,#N/D,2242,0.456,5081,335,2.9679,0.815934131534329
100,#N/D,2241,0.892,6611,339,3.0936,0.787088628255988
100,#N/D,2236,1.003,1527,88,3.0118,0.812706429030309
100,#N/D,2234,0.929,1099,58,3.1133,0.804804450375194
100,#N/D,2234,1.252,2534,102,3.1955,0.854292964659803
100,#N/D,2234,1.555,3331,151,3.2403,0.827056399365423
100,#N/D,2234,1.83,1365,53,3.2971,0.847717502039018
100,#N/D,2235,1.666,2643,88,3.5524,0.774963227118721
100,#N/D,2234,1.521,8789,283,3.4905,0.629942698604084
74.07,#N/D,2257,0.032,1339,127,2.2466,0.83290336327468
82.14,#N/D,2255,0,4849,232,2.9676,0.783695810241022
100,#N/D,2240,0.66,12179,287,3.2075,0.771351182786777
100,#N/D,2235,1.423,1840,111,3.2451,0.847673160630822
100,#N/D,2228,0.664,4041,114,3.6275,0.581275689958807
100,#N/D,2260,0.201,11031,228,3.5515,0.700690833456453
100,#N/D,2266,0.358,10248,176,3.7497,0.659661736988197
100,#N/D,2268,0.381,12372,173,3.7434,0.64534944746182
100,#N/D,2268,0.493,9265,113,3.706,0.693837302762645
100,#N/D,2259,0.648,11535,282,3.4557,0.714050210701785
100,#N/D,2256,0.775,5604,134,3.4657,0.682256882051287
100,#N/D,2244,0.625,7693,386,3.1606,0.732941316657416
100,#N/D,2242,0.642,3507,223,3.1063,0.750607431579566
100,#N/D,2236,0.688,1949,115,2.7032,0.878053997374292
100,#N/D,2234,0.748,3311,157,2.991,0.819016131122553
100,#N/D,2234,1.053,4664,132,3.1599,0.865825169432833
100,#N/D,2236,1.003,4011,152,3.1733,0.843716222070879
5.08,#N/D,2254,0.017,280,18,2.2764,0.892045566913768
93.1,#N/D,2272,0.262,11211,222,3.6685,0.66700561126391
95.45,#N/D,2280,0.262,8078,120,3.7872,0.663818082684645
100,#N/D,2276,0.397,13380,214,3.7229,0.643914290041905
100,#N/D,2278,0.394,9846,181,3.5843,0.724379730431677
100,#N/D,2272,0.495,5061,68,3.5367,0.724502249883742
100,#N/D,2263,0.559,6285,55,3.8045,0.740347315902642
100,#N/D,2259,0.592,6039,140,3.3625,0.749176474484687
100,#N/D,2248,0.514,2774,124,3.0857,0.800539983011467
100,#N/D,2237,0.931,2705,141,2.9956,0.809766389445669
100,#N/D,2236,0.831,2633,93,2.8312,0.933433738153169
100,#N/D,2236,1.063,1922,71,2.9984,0.914661628733852
100,#N/D,2234,1.354,3409,105,2.8841,0.912599042430887
100,#N/D,2237,3.367,1313,59,3.1715,0.879883126145891
100,#N/D,2233,1.941,4568,91,3.8226,0.662451024116538
100,#N/D,2278,0.151,6162,121,3.4521,0.733737584018239
100,#N/D,2265,0.207,8305,157,3.5705,0.704839823113639
100,#N/D,2262,0.41,6450,128,3.5537,0.741792550452294
100,#N/D,2257,0.305,8897,251,3.5432,0.70266906782172
100,#N/D,2255,0.208,7413,72,3.6481,0.693898182538651
100,#N/D,2255,0.563,6195,152,3.5219,0.738630168380291
100,#N/D,2246,0.609,3205,176,2.9136,0.798710547106473
100,#N/D,2239,3.529,1773,54,3.0728,0.929138353303774
100,#N/D,2238,3.036,1660,58,2.9856,0.946445895565028
100,#N/D,2231,7.602,5351,246,3.1569,0.920827412167918
98.66,#N/D,2303,0,2667,155,3.2327,0.94710307590938
100,#N/D,2244,0.219,6689,162,3.1852,0.765832099178647
100,#N/D,2235,1.055,702,43,2.9008,0.826157205606854
100,#N/D,2234,0.993,626,36,3.0388,0.802701785367579
100,#N/D,2250,0.334,8917,178,3.5301,0.735364138270922
100,#N/D,2256,0.342,15107,312,3.7872,0.684647110744046
100,#N/D,2238,4.977,4373,132,3.1734,0.903318715965852
100,#N/D,2236,4.508,5817,198,3.109,0.893213873043219
100,#N/D,2235,1.962,2015,38,3.9126,0.790993642481931
100,#N/D,2234,1.896,3112,111,3.577,0.863792868072843
100,#N/D,2234,1.35,5243,143,3.3395,0.833458245826483
100,#N/D,2234,1.119,2500,59,3.5311,0.807683787208513
100,#N/D,2234,0.669,2846,72,3.4372,0.817885565190567
100,#N/D,2234,0.774,4379,147,3.1778,0.858371952453642
100,#N/D,2233,0.418,3808,96,3.3374,0.852156123972175
100,#N/D,2233,0.836,3664,80,3.3309,0.880408040829211
100,#N/D,2233,0.771,1990,49,3.1891,0.851723733949602
100,#N/D,2231,0.143,2747,89,3.3418,0.838880930290314
100,#N/D,2231,0.198,3906,115,3.1449,0.820623097370706
100,#N/D,2232,0.663,3144,83,3.2784,0.804203276322208
100,#N/D,2236,1.173,2647,107,2.9313,0.865356038934451
100,#N/D,2236,1.535,2663,94,2.8977,0.875157523890538
100,#N/D,2236,1.958,2451,89,2.8801,0.866827005223018
100,#N/D,2238,2.318,2521,145,2.7918,0.867485857948613
100,#N/D,2233,2.201,3630,70,3.9499,0.640572801622361
100,#N/D,2234,2.751,2933,50,4.1662,0.728742077051364
100,#N/D,2237,3.882,3078,65,4.0341,0.717534889552079
100,#N/D,2241,0.682,3706,186,2.6875,0.870236914065964
100,#N/D,2242,0.451,6975,125,3.4927,0.757810630553651
100,#N/D,2236,2.498,2893,122,3.0517,0.948271339530862
100,#N/D,2235,2.131,2632,199,2.4461,0.933047647149998
100,#N/D,2233,1.341,2584,165,2.6503,0.842616002528498
96.55,#N/D,2229,3.989,3205,158,2.7417,0.853744457649493
100,#N/D,2236,3.21,4162,109,3.319,0.851192982330374
100,#N/D,2238,3.359,4255,127,3.3583,0.84264511423177
100,#N/D,2237,5.002,5598,162,3.2377,0.861196946962504
100,#N/D,2235,6.481,4931,169,3.1895,0.878305723572933
100,#N/D,2230,7.488,6177,178,3.4052,0.837995977283199
97.22,#N/D,2296,0,5286,493,2.3103,0.88201844883063
100,#N/D,2300,0,0,0,0,0
100,#N/D,2301,0.057,1598,145,2.0753,0.859137723375588
100,#N/D,2299,0.053,1794,100,2.6344,0.888765505865176
83.33,#N/D,2294,0.125,1748,78,2.6525,0.884574350109742
100,#N/D,2299,0,1868,69,2.865,0.857243794623005
100,#N/D,2300,0.026,437,21,2.6646,0.89282412764016
100,#N/D,2298,0.041,1898,85,2.7708,0.873054129208968
100,#N/D,2273,0,977,43,3.2567,0.894807268384911
100,#N/D,2281,0,2650,89,2.9576,0.878573907516809
100,#N/D,2281,0.066,2923,128,2.6215,0.875484948756811
100,#N/D,2259,0.119,1970,74,2.8223,0.91901504020907
100,#N/D,2255,0.245,3015,179,3.1115,0.860025127180145
100,#N/D,2259,0.111,3126,93,3.3114,0.851573399082325
100,#N/D,2237,0.972,3911,185,3.154,0.873580845392771
100,#N/D,2235,1.07,1848,109,2.5177,0.890324816474139
100,#N/D,2235,1.125,1634,108,2.41,0.913787662215713
100,#N/D,2235,1.138,5027,205,3.1877,0.926186839988052
100,#N/D,2238,0.802,2989,66,3.0531,0.898070863897366
100,#N/D,2240,0.776,707,13,2.751,0.95502591700341
100,#N/D,2234,0.923,3261,194,2.7062,0.836462546121373
100,#N/D,2234,0.811,3564,92,3.3371,0.874183048626743
100,#N/D,2229,0.417,3169,131,3.1658,0.824786952035321
100,#N/D,2229,0.731,1953,131,2.8263,0.803575476688088
100,#N/D,2292,0,2818,298,2.2401,0.874158232720027
100,#N/D,2283,0,657,85,2.066,0.861584062124993
100,#N/D,2615,0,4727,101,3.7635,0.704257787235075
71.88,#N/D,2532,0,4089,343,3.287,0.875707964637192
100,#N/D,2596,0,6692,278,3.3527,0.726168042705425
100,#N/D,2649,0,3412,85,3.4154,0.689581617543919
80.52,#N/D,2589,0,11430,324,3.5663,0.738420327412655
100,#N/D,2651,0,6314,258,3.1809,0.861036128396444
64.35,#N/D,2726,0,3341,132,3.4197,0.82493503182709
74.55,#N/D,2658,0,5350,152,3.581,0.81763283847073
0,#N/D,2598,0,6765,327,3.4358,0.699918077562094
100,#N/D,2412,0,8025,657,3.2477,0.807568764953098
100,#N/D,2457,0,5609,332,3.3189,0.87894880340506
95.57,#N/D,2425,0,10358,911,3.245,0.878278064658318
37.21,#N/D,2611,0,6461,220,3.7984,0.682658624986172
100,#N/D,2671,0,4704,126,3.5826,0.815756326214841
0,#N/D,2598,0,8879,346,3.8604,0.556053621975477
12.1,#N/D,2659,0.03,8958,202,3.8168,0.603694662689648
0,#N/D,2724,0,3756,590,3.2268,0.716129129218391
100,#N/D,2640,0,4915,120,3.1854,0.751990731684157
100,#N/D,2663,0,8015,256,3.3933,0.763926528911026
100,#N/D,2657,0,4216,196,3.1322,0.786399604796871
0,#N/D,2628,0,2792,93,3.6689,0.545028797000351
100,#N/D,2653,0,3172,116,3.5801,0.717086954135329
100,#N/D,2650,0,7010,286,3.3621,0.817063255917931
87.94,#N/D,2563,0,5681,788,2.1519,0.884960876314162
19.37,#N/D,2509,0,8672,610,3.7574,0.582144854146765
0,#N/D,2724,0,554,18,4.0438,0.618884969710122
100,#N/D,2540,0,4411,389,3.2362,0.678274726044245
100,#N/D,2612,0,2183,86,3.567,0.824623696653358
0.5,#N/D,2773,0,9076,257,3.877,0.688008824917541
0,#N/D,2833,0,12818,468,3.7778,0.622412185087202
0,#N/D,2802,0,1143,60,3.9414,0.652395958332947
100,#N/D,2347,0,4312,50,3.8363,0.622911702803569
100,#N/D,2327,0,5407,73,3.7341,0.648157723702044
100,#N/D,2295,0,10216,197,3.5621,0.670944330065843
100,#N/D,2292,0,3358,67,3.7064,0.66101231792799
100,#N/D,2286,0,4627,75,3.7135,0.653162551118846
100,#N/D,2269,0,5161,97,3.7535,0.641977163656225
100,#N/D,2276,0,4752,57,3.7125,0.67462873987922
100,#N/D,2270,0,4730,51,3.8114,0.640880236028408
100,#N/D,2258,0,12546,0,3136.5,0
100,#N/D,2281,0,7794,177,3.6217,0.608915369413131
100,#N/D,2259,0,4629,90,3.6023,0.713816711197726
100,#N/D,2259,0,4675,79,3.6128,0.721926421555267
100,#N/D,2263,0,5587,94,3.57,0.704437151057309
100,#N/D,2271,0,6504,121,3.5934,0.647092772535234
100,#N/D,2259,0,3090,42,3.7319,0.744062427310192
100,#N/D,2269,0,7579,186,3.7819,0.601459726125358
95.65,#N/D,2268,0,5381,63,3.5636,0.609457691962488
100,#N/D,2259,0,4360,134,3.3746,0.638889024478805
100,#N/D,2228,0,3229,175,2.6511,0.842354785135846
100,#N/D,2228,0,2726,151,2.6287,0.83931441073516
100,#N/D,2229,0,2801,136,2.6227,0.850015488928555
100,#N/D,2229,0,2255,166,2.5111,0.840939946763176
100,#N/D,2229,0,3901,137,3.3863,0.790075408530237
100,#N/D,2239,0,1721,41,3.498,0.717737202314688
100,#N/D,2252,0,6347,88,3.7401,0.612731601644961
100,#N/D,2274,0,5142,87,3.6288,0.548814180921156
100,#N/D,2240,0,10011,1441,2.1692,0.823872465821271
100,#N/D,2238,0,3074,130,3.3706,0.733182245793946
100,#N/D,2238,0,6268,139,3.5233,0.673243655037856
100,#N/D,2226,0,5660,318,2.9665,0.911594154352682
100,#N/D,2236,0,5642,230,3.5043,0.699015887901655
100,#N/D,2228,0,4853,203,3.2246,0.705083294464437
100,#N/D,2237,0,3836,205,3.0935,0.713569145708458
100,#N/D,2237,0.008,4353,127,3.4303,0.742049905172207
100,#N/D,2238,0.052,4552,162,3.4046,0.674110973000958
100,#N/D,2238,0,4112,119,3.4759,0.719353144168949
100,#N/D,2238,0,5381,189,3.3547,0.720402853950578
100,#N/D,2241,0.003,3582,241,2.5733,0.878453178594743
100,#N/D,2238,0.058,2873,98,2.9619,0.874937206297655
100,#N/D,2244,0.126,2357,113,3.2199,0.801586058050961
100,#N/D,2245,0.187,860,51,2.522,0.913134378718487
100,#N/D,2241,0.315,1209,56,3.224,0.937348252177061
100,#N/D,2229,0,2910,128,3.0794,0.773070496246124
100,#N/D,2228,0.039,3660,128,3.3547,0.72403052140939
100,#N/D,2237,0,3010,119,3.2296,0.804865361998207
100,#N/D,2253,0,4622,93,3.6223,0.769303309913142
100,#N/D,2233,0.21,1676,56,3.0866,0.833489548323034
100,#N/D,2233,0.769,789,73,2.4656,0.842951591433634
100,#N/D,2233,0.705,841,57,2.5255,0.814922038894608
100,#N/D,2236,0.594,2630,83,3.0405,0.861294539606392
78.95,#N/D,2254,0,5898,112,3.592,0.66694037819291
95.83,#N/D,2246,0.335,5526,148,3.5175,0.652758092900926
100,#N/D,2225,16.195,7928,151,3.4941,0.641463277653245
100,#N/D,2232,0.78,0,0,0,0
100,#N/D,2230,1.086,3399,172,2.8045,0.892379365225675
100,#N/D,2228,1.45,3170,165,2.8818,0.871346512370147
100,#N/D,2226,1.245,2430,126,2.8757,0.883301087077633
100,#N/D,2230,1.193,33,2,4.7143,0
96,#N/D,2232,0.049,2429,75,3.6308,0.735109930746238
100,#N/D,2233,0.913,1967,100,3.0831,0.719389760537871
87.5,#N/D,2240,0,2063,53,3.3709,0.798775716555535
78.57,#N/D,2251,0,2533,58,3.4938,0.762207878857504
0,#N/D,2262,0,1182,45,3.7764,0.4874546360959
80,#N/D,2246,0,5441,120,3.4546,0.608323497414772
100,#N/D,2226,10.321,4211,109,3.4516,0.660542831973351
100,#N/D,2226,9.282,4677,94,3.5113,0.723015075309631
100,#N/D,2224,16.658,8230,202,3.3212,0.639654946982364
100,#N/D,2228,19.254,5397,115,3.5,0.652678587221867
100,#N/D,2228,19.623,5753,137,3.5381,0.648203479438889
100,#N/D,2248,0.298,2030,127,2.5567,0.816075335342712
100,#N/D,2229,0.441,808,24,3.232,0.848369174562109
100,#N/D,2234,0.603,1563,114,2.3899,0.844732785769975
100,#N/D,2238,0.764,2055,128,2.4348,0.827461517172875
100,#N/D,2232,0.78,1939,132,2.3249,0.831341475848169
100,#N/D,2233,1.042,2788,125,3.0637,0.830098260600507
100,#N/D,2233,1.245,2629,128,3.1867,0.84374064592666
100,#N/D,2231,1.273,1848,84,2.8607,0.923714081016894
100,#N/D,2230,1.822,1748,83,2.9231,0.91052848383099
100,#N/D,2226,1.583,1499,119,2.6298,0.918338846521712
95,#N/D,2233,0.186,2752,57,3.5147,0.746619421350232
96.15,#N/D,2237,0,2609,75,3.5257,0.742306371837868
62.5,#N/D,2248,0,5587,110,3.654,0.613045826725649
100,#N/D,2225,6.539,4485,132,3.4263,0.698147178816593
100,#N/D,2224,16.629,7672,168,3.58,0.677664491593488
100,#N/D,2228,19.261,4312,107,3.4168,0.680540408082633
100,#N/D,2228,18.92,6423,247,3.4329,0.663186233262517
100,#N/D,2228,19.559,4268,111,3.4447,0.617573732182355
100,#N/D,2230,0.632,2435,156,2.4771,0.860704381789251
100,#N/D,2228,0.544,0,0,0,0
100,#N/D,2229,1.072,2836,131,2.8704,0.822741270497641
100,#N/D,2231,1.307,2473,129,2.688,0.858388958638887
100,#N/D,2229,1.28,3245,128,2.8999,0.885431824872596
100,#N/D,2227,2.029,2017,136,2.6645,0.921148866723021
100,#N/D,2225,0.579,1806,115,2.8576,0.880031765318133
81.82,#N/D,2238,1.269,6124,275,3.2249,0.688048679889185
78.95,#N/D,2237,1.491,4825,146,3.4123,0.709845489506697
47.06,#N/D,2239,0.113,4370,95,3.6723,0.673416131953364
88.89,#N/D,2253,0.026,5891,118,3.6981,0.53835015682659
100,#N/D,2227,5.461,6380,241,3.3143,0.686549806846286
100,#N/D,2225,15.519,6513,172,3.4135,0.669293262883395
100,#N/D,2228,19.199,5334,210,3.3953,0.676637389181147
100,#N/D,2229,18.917,3397,99,3.6332,0.646751799493992
100,#N/D,2228,18.945,4143,157,3.4043,0.630635391345205
100,#N/D,2227,20.841,4389,71,3.5112,0.631602809794166
100,#N/D,2228,0.796,3415,122,3.2462,0.81768572235597
100,#N/D,2228,1.047,99,6,2.8286,0.77653141923207
100,#N/D,2229,1.931,1179,79,2.5912,0.632275543170517
