cob_urb,precip,elev,hund,pob,viv_s_a,ocupantes,ingreso
100,726.4285714286,2298,0,3227,314,2.4615,0.882403862631377
100,733.9375,2317,0.053,3017,59,3.8482,0.645008505843946
100,739.1153846154,2314,0,4198,377,3.6632,0.559844665621743
0,857.6666666667,2436,0,257,6,3.7246,0.996070650932564
0,868.2857142857,2454,0,0,0,0,0
100,769.3666666667,2376,0,4092,206,3.222,0.68824307905119
100,762,2400,0,1637,269,2.1885,0.824465853788818
100,752.0434782609,2356,0,2321,94,3.4694,0.658903667348495
100,735.5,2311,0.006,3033,122,4.1378,0.576018970611068
100,746.5294117647,2327,0,3618,161,4.1396,0.544983648828671
100,746.2068965517,2363,0,4691,122,3.6995,0.666096270515054
100,733.8181818182,2283,0,1771,115,2.7121,0.879213082123155
100,714.4137931034,2289,0,4011,195,2.9023,0.877772629295997
100,724.0819672131,2273,0,3743,204,3.0555,0.887382740789031
0,825.1111111111,2384,0,230,11,3.1507,0.92161900771373
92,728.54,2287,0,2988,192,2.8593,0.805836883000948
100,728.9310344828,2293,0,3768,174,3.0461,0.820800568633294
100,732.243902439,2281,0,3634,164,2.9401,0.867768483108049
100,758.9444444444,2374,0,1673,255,2.2071,0.838409446293097
100,760,2361,0,2416,54,3.8594,0.577713407514598
100,757,2367,0,2909,74,3.7584,0.560038546635538
100,755.7368421053,2349,0,3780,48,3.8849,0.579709600000371
100,753.4210526316,2359,0,3641,95,3.8693,0.547402409502495
100,751.8571428571,2375,0.029,1808,43,3.939,0.627845638218496
100,733,2305,0.003,3032,51,3.7665,0.609571220559678
100,723.0526315789,2298,0.022,2610,215,3.1034,0.697684676666824
0,816.5454545455,2396,0,0,0,0,0
25,701.25,2289,0.065,0,0,0,0
63.64,724.3636363636,2320,0.085,749,33,3.2996,0.727217314259434
100,803,2408,0,528,67,2.3158,0.928594688930731
8.4,834.4160305344,2371,0.023,2957,363,2.5602,0.98524064355548
0,859.5988700565,2385,0.035,186,37,2.7761,0.895379679558226
0,597.9454545455,2347,0,516,57,3.3725,0.509468040636851
0,602.1384615385,2339,0,1434,87,3.3041,0.63313579623297
1.52,602.8636363636,2338,0,1374,94,3.2792,0.602438424570899
42.11,563.4385964912,2477,0,1683,82,3.463,0.507803270585421
56.25,562,2479,0,820,29,3.8679,0.433102334443237
68.42,567.7105263158,2517,0,1861,62,3.8135,0.577134736318622
75,570.1666666667,2516,0,576,28,3.6,0.479513198159442
50,576,2510,0,0,0,0,0
0.88,619.8495575221,2434,0,1242,114,3.2598,0.457597625437801
0,618.176,2442,0,1770,129,3.3146,0.47149038082404
0,858,2430,0,669,57,3.3788,0.666446447094787
0,847.3703703704,2425,0,1606,132,3.2379,0.530083860818331
2.17,864.6086956522,2431,0,1075,115,2.9696,0.574644427216474
0,859,2428,0,140,11,3.3333,0.507115183443477
0,858.5,2443,0,15,4,1.875,0
0,860,2433,0,27,2,3,0
0,860,2429,0,7,0,2.3333,0
0,839.8571428571,2423,0,148,46,2.8462,0.691009012569686
100,638.6086956522,2235,1.676,1772,71,3.1586,0.808738450811521
100,655.6785714286,2251,0.141,6531,350,3.0865,0.760913799416406
95.95,655.5405405405,2251,0.069,4198,220,3.2169,0.759501387757614
100,639.7857142857,2239,0,6842,259,3.2831,0.820795359974935
100,639.5675675676,2238,0,6158,203,3.3019,0.838202475607854
100,642.1428571429,2238,2.49,6333,206,3.2628,0.842630881625656
100,640.7317073171,2237,1.67,5132,151,3.2584,0.869690260978919
3.39,653.2711864407,2240,0.74,4126,439,2.5739,0.871680599037124
0,647.0363636364,2240,1.301,10510,977,2.737,0.82896489972033
100,644.7402597403,2238,1.661,7050,464,2.9987,0.842697557944939
100,645.47,2237,0.702,9797,929,2.7397,0.839054211285455
100,646.593220339,2245,0.397,4208,190,3.6245,0.662234522648606
100,644.6024096386,2245,0.597,7042,570,2.9027,0.797422965296446
77.78,668.9166666667,2251,0.226,2029,130,2.9838,0.880857932082038
100,655.4324324324,2257,0.134,3080,283,2.6552,0.850745027333849
100,681,2301,0.077,2274,124,3.0442,0.87587446345807
100,638,2238,0,1512,110,2.891,0.715249081312888
100,638,2238,0,1532,83,3.1012,0.686674197528389
100,638,2238,0,2614,173,3.015,0.719665453626233
100,639.1111111111,2240,2.133,2051,160,3.0385,0.685105719089818
100,639.5714285714,2235,2.729,1694,184,2.6677,0.73025202155098
100,638.8,2237,0,1496,111,2.888,0.710550252188919
100,639,2237,0,1507,93,2.9901,0.686542529027957
100,639,2238,0,1573,106,3.0783,0.698365043248064
100,639.3846153846,2239,0.684,2586,191,2.969,0.719011171490482
100,640,2240,1.416,1701,157,2.8256,0.714029497298271
100,640.2666666667,2236,1.982,2595,184,3.119,0.764736922637451
100,639.4259259259,2237,0.689,12205,1262,2.6276,0.835859610916664
100,640,2238,2.11,1859,130,3.1244,0.749521500329987
100,683.44,2294,0,3107,347,2.6,0.818408974797931
100,672.2857142857,2280,0.035,2590,194,3.4765,0.657149869223834
100,639,2242,2.346,1831,132,3.0016,0.740495266779327
100,639,2236,3.71,1970,152,2.9403,0.760959965532306
100,639,2234,2.395,2688,237,2.8718,0.767483613267579
100,639,2237,0,4922,270,3.2403,0.787427786463537
100,640.4736842105,2237,0.826,6285,347,3.2148,0.840357771974252
100,654.95,2244,0.484,1934,125,2.9663,0.85280806202125
100,669.8245614035,2256,0.125,4975,216,3.4669,0.694311701802273
100,674.2258064516,2276,0.139,8168,451,3.4219,0.685139917674
100,694.6470588235,2295,0,1803,93,3.1968,0.816504834833432
